Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
118943067,3499,3499,BikeExchange,???,Cannondale,road-bike,Cannondale Cujo Neo Medium 2018,,Large / Green,,
119059336,2750,2750,BikeExchange,???,Scott,road-bike,2017 Scott Foil Premium Di2 – 54cm,,- / Black / 54cm,,Shimano Dura Ace Di2
119009905,450,990,BikeExchange,???,Specialized,road-bike,SPECIALIZED EPIC M4 FSR S-WORKS Racing Mountain Bike,,,Medium,
116871623,2000,2000,BikeExchange,???,Specialized,road-bike,SPECIALIZED S-WORKS TARMAC SL3 PROJECT BLACK ROAD BIKE 58cm,,,Large,SRAM Red
119062187,3999,3999,BikeExchange,???,Canyon,road-bike,Canyon Grail CF SL Gravel Bike,,,Small,Shimano GRX
105721738,1700,1700,BikeExchange,???,Felt,road-bike,FELT F1 SL R ultra hybrid nano carbon road bike,,,M/L,SRAM Red
119013571,8999,8999,BikeExchange,???,Specialized,road-bike,Specialized Levo Comp Carbon S3 2022,,Medium / Black,,
119015893,10250,10250,BikeExchange,???,Cervelo,road-bike,"Cervelo Caledonia 5 Dura-Ace Di2 Size 54 in Carbon/Chameleon. 2021 New Condition ridden only 2226km $10,250",,,54cm,Shimano Dura Ace Di2
119058827,2900,2900,BikeExchange,???,Colnago,road-bike,Colnago Titanio road bike 58cm,,,58cm,
119059611,699,699,BikeExchange,???,Tokyobike,road-bike,Tokyobike CS26,,,L/XL,
119046535,6000,6000,BikeExchange,???,Specialized,road-bike,Specialized Levo SL Gen 1 Carbon Comp model 2021 SIZE SMALL,,,Small,
118893022,3499,3499,BikeExchange,???,Scott,road-bike,Scott Axis eRIDE 20 XS 2021,,XS / Bronze,,
119076182,1999,1999,BikeExchange,???,Merida,road-bike,Merida Espresso City 300 SE EQ 504Wh Small 2022,,Small / Green,,
112985471,1999,1999,BikeExchange,???,Specialized,road-bike,S-Works Crux Carbon Disc 54cm 2016 Frameset,,Medium / Black,,
119013523,5499,5499,BikeExchange,???,Ibis,road-bike,Ibis Ripmo v1 Large 2020,,Large / Blue,,
118981853,10900,10900,BikeExchange,???,Specialized,road-bike,Specialized S-Works SL7 with Roval Cockpit (Size 58),,,58cm,SRAM Red AXS
119013871,6900,6900,BikeExchange,???,Trek,road-bike,TREK MADONE SLR 7 GEN 7 FRAMESET 52CM (H1.5 RACE),,,Small,
119058843,5000,5000,BikeExchange,???,Trek,road-bike,Trek 54cm Domane + E Road Bike,,,Medium,
119043744,2999,2999,BikeExchange,???,Specialized,road-bike,S-works Venge Large 56,,,56cm,Shimano Dura Ace
119022545,1700,1700,BikeExchange,???,Smart Motion,road-bike,Smart Motion X City,,One Size / Red,,
119071283,5999,8599,BikeExchange,???,Merida,road-bike,eONE-SIXTY 675 (Silk Fog Green) ex Demo. Only a few rides old.,,Medium / Green,,
118997609,9500,9500,BikeExchange,???,Look,road-bike,2023 Look 795 Blade RS carbon road bike Campagnolo Super Record EPS 12 speed,,Medium / All Black / 55.5cm,,Campagnolo Super Record EPS
119013557,2299,2299,BikeExchange,???,Giant,road-bike,Giant Trance 1 Large 2017,,Large / Silver,,
119058903,3000,3000,BikeExchange,???,Kalkhoff,road-bike,2 Kalkhoff City e-bikes in excellent condition,,,S/M,
119013282,1500,1500,BikeExchange,???,Ridley,road-bike,Ridley Noah SL Full Carbon,,,S/M,Shimano 105
119022516,2199,2199,BikeExchange,???,Merida,road-bike,Merida Espresso City 400 EQ,,Medium / Burgundy,,
119046725,5000,5000,BikeExchange,???,Specialized,road-bike,Sworks Tarmac SL6 - 48cm,,- / Black / 48cm,,Shimano Dura Ace Di2
118972451,4499,4499,BikeExchange,???,Merida,road-bike,Merida Scultura 8000e Medium 2020,,Medium / Red / 54.5cm,,Shimano Ultegra Di2 12 Speed
119029811,4500,4900,BikeExchange,???,Scott,road-bike,Scott Spark RC Team - Black - 2021 Excellent Condition,,,Large,
119046735,1450,1450,BikeExchange,???,Specialized,road-bike,2010 Specialized Roubaix SL2 – 52cm,,- / Black / 52cm,,Campagnolo Chorus
